x,y
-6.666666666666667,-0.625
-6.4,0.0
-6.133333333333333,-9.375
-6.0,-8.75
-6.0,-8.125
-5.866666666666666,-7.5
-5.866666666666666,-6.875
-5.2,146.875
-5.2,147.5
-5.066666666666666,146.875
-4.933333333333334,146.25
-4.8,145.625
-4.666666666666667,145.0
-4.533333333333333,145.0
-4.533333333333333,174.375
-4.533333333333333,175.0
-4.4,144.375
-4.4,166.875
-4.4,167.5
-4.266666666666667,143.75
-4.266666666666667,158.125
-4.266666666666667,193.75
-4.266666666666667,194.375
-4.133333333333333,143.125
-4.133333333333333,158.125
-4.0,142.5
-3.8666666666666667,141.875
-3.8666666666666667,142.5
-3.7333333333333334,141.875
-3.6,141.25
-3.6,163.125
-3.6,171.875
-3.6,188.75
-3.466666666666667,140.625
-3.466666666666667,155.0
-3.466666666666667,162.5
-3.466666666666667,171.875
-3.466666666666667,183.125
-3.466666666666667,188.75
-3.3333333333333335,161.875
-3.3333333333333335,162.5
-3.3333333333333335,170.625
-3.3333333333333335,171.25
-3.3333333333333335,183.75
-3.3333333333333335,188.125
-3.3333333333333335,196.875
-3.2,133.75
-3.2,154.375
-3.2,160.625
-3.2,161.25
-3.2,161.875
-3.2,168.75
-3.2,169.375
-3.2,170.0
-3.2,170.625
-3.2,178.125
-3.2,178.75
-3.2,196.875
-3.2,197.5
-3.2,198.125
-3.2,198.75
-3.0666666666666664,134.375
-1.0666666666666667,267.5
-1.0666666666666667,268.125
-1.0666666666666667,268.75
-1.0666666666666667,269.375
-1.0666666666666667,270.0
-1.0666666666666667,270.625
-1.0666666666666667,271.25
-1.0666666666666667,271.875
-1.0666666666666667,272.5
-1.0666666666666667,273.125
-1.0666666666666667,273.75
-1.0666666666666667,274.375
-0.9333333333333333,266.25
-0.9333333333333333,266.875
-0.9333333333333333,267.5
-0.9333333333333333,268.125
-0.9333333333333333,268.75
-0.9333333333333333,273.125
-0.9333333333333333,273.75
-0.9333333333333333,274.375
-0.9333333333333333,275.0
-0.5333333333333333,126.875
-0.5333333333333333,127.5
-0.5333333333333333,128.125
-0.5333333333333333,128.75
-0.5333333333333333,129.375
-0.5333333333333333,130.0
-0.5333333333333333,130.625
-0.5333333333333333,131.25
-0.5333333333333333,131.875
-0.5333333333333333,132.5
-0.5333333333333333,133.125
-0.5333333333333333,133.75
-0.5333333333333333,134.375
-0.5333333333333333,135.0
-0.5333333333333333,135.625
-0.5333333333333333,136.25
-0.4,-13.75
-0.4,-8.125
-0.4,126.25
-0.4,126.875
-0.4,127.5
-0.4,128.125
-0.4,128.75
-0.4,129.375
-0.4,130.0
-0.4,130.625
-0.4,131.25
-0.4,131.875
-0.4,132.5
-0.4,133.125
-0.4,133.75
-0.4,134.375
-0.4,135.0
-0.4,135.625
-0.4,136.25
-0.4,136.875
-0.26666666666666666,-13.75
-0.26666666666666666,-13.125
-0.26666666666666666,-9.375
-0.26666666666666666,-8.75
-0.13333333333333333,-13.125
-0.13333333333333333,-12.5
